,Date,Opponent,Result,Score,Record,Duration,Attendance
0,9/7/2024,at Moravian,W,33-7,1-0,2:45,1976
1,9/14/2024,at Salisbury,L,38-59,1-1,03:33,1449
2,9/21/2024,vs TCNJ,W,55-52,2-1,3:39,2499
3,10/4/2024,vs Ursinus,L,50-53,"2-2 , 0-1",3:15,2279
4,10/12/2024,at McDaniel,W,34-6,"2-2 , 0-1",2:48,1102
5,10/19/2024,vs Gettysburg,W,58-42,"4-2 , 2-1",3:07,1832
6,10/26/2024,vs Dickinson,W,49-20,"5-2 , 3-1",2:33,1803
7,11/2/2024,at Johns Hopkins,L,13-26,"5-3 , 3-2",02:46,750
8,11/9/2024,at Franklin & Marshall,W,24-23,"6-3 , 4-2",02:48,900
9,11/16/2024,vs Montclair St.,W,21-0,7-3,2:41,1100
10,11/23/2024,vs Widener,W,34-7,8-3,2:25,891
11,,,,,,,16581
