,#,Player,NO,YDS,AVG,TD,Long,Bio Link
0,,"Short, Chris  Short, Chris",35,930,26.57,2,100,
1,8.0,"Shotwell, Jake 8 Shotwell, Jake",3,30,10.0,0,17,View Bio
2,54.0,"Curry, Blaze 54 Curry, Blaze",2,26,13.0,0,14,View Bio
3,32.0,"Manning, Matthew 32 Manning, Matthew",1,19,19.0,0,19,View Bio
4,,"Schafferneitz, I  Schafferneitz, I",1,18,18.0,0,18,
5,24.0,"Dunn, Amari 24 Dunn, Amari",1,17,17.0,0,17,View Bio
6,87.0,"Kiley, Jordan 87 Kiley, Jordan",1,14,14.0,0,14,View Bio
7,,"Ardito, Chris  Ardito, Chris",1,7,7.0,0,7,
8,,"Ard, Ardito|christopher, Chris  Ard, Ardito|christopher, Chris",1,7,7.0,0,7,
9,,Total,46,1068,23.22,2,100,
10,,Opponents,48,951,19.81,0,72,
