,Statistic,MUHLENBERG,Opponents OPP
0,Scoring,Scoring,Scoring
1,Points Per Game PPG,37.18,26.82
2,Total TOT,409,295
3,First Downs,First Downs,First Downs
4,Rushing RUSH,98,72
5,Passing PASS,143,121
6,Penalty PEN,16,20
7,Total TOT,257,213
8,Rushing,Rushing,Rushing
9,Yards Gained YDS,2152,1831
10,Yards Lost YDL,181,285
11,Attempts ATT,423,364
12,Average Per Attempt AVG/ATT,4.7,4.2
13,Avg. Per Game AVG/G,179.2,140.5
14,Touchdowns TDS,25,13
15,Total TOT,1971,1546
16,Passing,Passing,Passing
17,Att-Comp-Int ATT-CMP-INT,356-231-9,353-218-11
18,Avg. Per Attempt AVG/ATT,8.09,8.16
19,Avg. Per Game AVG/G,261.82,261.73
20,Touchdowns TDS,29,27
21,Total TOT,2880,2879
22,Total Offense,Total Offense,Total Offense
23,Total Plays TOT,779,717
24,Avg. Per Play AVG/P,6.2,6.2
25,Avg. Per Game AVG/G,441.0,402.3
26,Total Yards TOT YDS,4851,4425
27,Touchdowns TDS,57,41
28,Returns,Returns,Returns
29,Kickoff: Average KO: AVG,23.58,19.81
30,Kickoff: Total KO: TOT,45-1061,48-951
31,Punt: Average P: AVG,6.28,-1.00
32,Punt: Total P: TOT,25-157,6--6
33,INT: Average INT: AVG,18.18,9.63
34,INT: Total INT: TOT,11-200,8-77
35,Kicking,Kicking,Kicking
36,Punt: Avg. Yards Per Game P: AVG/G,33.75,38.05
37,Punt: Net Average P: Net AVG,32.06,32.76
38,Punt: Total Yards P: YDS,32-1080,41-1560
39,FG: Good-Attempts FG: FGM-FGA,5-7,5-9
40,Onside Kicks Onside K,1-1,1-2
41,Penalties,Penalties,Penalties
42,Avg. Per Game (YDS) AVG/G,50.36,62.18
43,Total-Yards TOT/YDS,59-554,76-684
44,Time Of Possession,Time Of Possession,Time Of Possession
45,Avg. Per Game AVG/G,31:15,28:43
46,Total TOT,05:43:43,05:15:54
47,Miscellaneous,Miscellaneous,Miscellaneous
48,3rd Down Conversions 3rd %,66-137 (48.18 %),54-144 (37.50 %)
49,4th Down Conversions 4th %,10-26 (38.46 %),13-29 (44.83 %)
50,Fumbles-Lost FUM-Lost,10-5,9-3
51,Sacks-Yards Lost SCK YDS,33-199,13-98
52,PAT: Good-Attempts PAT,50-54,32-34
53,Misc. Yards MISC YDS,3,0
54,Red Zone: Attempts-Scores RZ: ATT-Score,47-58,28-36
55,Red Zone: Touchdowns RZ: TDS,42-58,23-36
